"SourceSystem","TargetSystem","EdgeType","Evidence","Strength","Impact","Notes","EvidenceSource"
"Boats","Champions","DirectReference","Data/Scripts/Items/Boats/BaseBoatDeed.cs:L281:ChampionSpawn","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","Champions","DirectReference","Data/Scripts/Items/Boats/BaseDockedBoat.cs:L322:ChampionSpawn","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","EventSink","GlobalHook","Data/Scripts/Items/Boats/BaseBoat.cs:L2909:Event","Hard","Runtime","Runtime hook map row; trigger: EventSink dispatch.","RuntimeHookMap"
"Boats","EventSink","GlobalHook","Data/Scripts/Items/Boats/Strandedness.cs:L105:Event","Hard","Runtime","Runtime hook map row; trigger: EventSink dispatch.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L197:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L219:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L227:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L300:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L373:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L43:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L446:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L519:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L53:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L572:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L625:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L63:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L678:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L731:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L740:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L749:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L757:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L791:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L817:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L843:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L869:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L895:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L924:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L932:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L942:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L952:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/BaseBoat.cs:L1732:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/Cargo.cs:L165:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/Cargo.cs:L516:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/CarpetBuild.cs:L116:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/CarpetBuild.cs:L202:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/CarpetBuild.cs:L82:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/Gumps/ConfirmDryDockGump.cs:L70:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/Gumps/FindboatGump.cs:L146:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/Gumps/FindboatGump.cs:L155:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/Gumps/FindboatGump.cs:L161:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/Gumps/FindboatGump.cs:L39:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/Gumps/TillerManGump.cs:L503:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/Gumps/TillerManGump.cs:L56:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/PirateBounty.cs:L132:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/PirateBounty.cs:L60:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/RenameBoatPrompt.cs:L16:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/TillerMan.cs:L112:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Items/Boats/TillerMan.cs:L137:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Housing","DirectReference","Data/Scripts/Items/Boats/DockingLantern.cs:L63:BaseHouse","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/BaseBoat.cs:Server.Multis.BaseBoat:v3","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/BaseBoatDeed.cs:Server.Multis.BaseBoatDeed:v0","Hard","Save","Serialized kind Deed; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/BaseDockedBoat.cs:Server.Multis.BaseDockedBoat:v1","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status NeedsSourceReview.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/BoatBuild.cs:Server.Items.BoatBuild:v1","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status NeedsSourceReview.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/BoatDoor.cs:Server.Items.BoatDoor:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/BoatDoor.cs:Server.Items.DeckDoor:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/BoatModel.cs:Server.Items.BoatModel:v0","Hard","Save","Serialized kind Addon; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/BoatModel.cs:Server.Items.BoatModelDeed:v0","Hard","Save","Serialized kind Deed; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/BoatStain.cs:Server.Items.BoatStain:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Cargo.cs:Server.Items.Cargo:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/CarpetBuild.cs:Server.Items.CarpetBuild:v1","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status NeedsSourceReview.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/DockingLantern.cs:Server.Items.DockingLantern:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Galleons.cs:Server.Multis.GalleonBarbarian:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Galleons.cs:Server.Multis.GalleonExotic:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Galleons.cs:Server.Multis.GalleonLarge:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Galleons.cs:Server.Multis.GalleonRoyal:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Galleons.cs:Server.Multis.GalleonRuinedBarbarian:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Galleons.cs:Server.Multis.GalleonRuinedExotic:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Galleons.cs:Server.Multis.GalleonRuinedRoyal:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Galleons.cs:Server.Multis.GalleonWreckedBarbarian:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Galleons.cs:Server.Multis.GalleonWreckedExotic:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Galleons.cs:Server.Multis.GalleonWreckedLarge:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Galleons.cs:Server.Multis.GalleonWreckedRoyal:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/GrapplingHook.cs:Server.Items.GrapplingHook:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Hold.cs:Server.Items.Hold:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/LargeBoat.cs:Server.Multis.LargeBoat:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/LargeBoat.cs:Server.Multis.LargeDockedBoat:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/LargeDragonBoat.cs:Server.Multis.LargeDockedDragonBoat:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/LargeDragonBoat.cs:Server.Multis.LargeDragonBoat:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/MediumBoat.cs:Server.Multis.MediumBoat:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/MediumBoat.cs:Server.Multis.MediumDockedBoat:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/MediumDragonBoat.cs:Server.Multis.MediumDockedDragonBoat:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/MediumDragonBoat.cs:Server.Multis.MediumDragonBoat:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/PirateBounty.cs:Server.Items.PirateBounty:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Plank.cs:Server.Items.Plank:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/SmallBoat.cs:Server.Multis.SmallBoat:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/SmallBoat.cs:Server.Multis.SmallDockedBoat:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/SmallDragonBoat.cs:Server.Multis.SmallDockedDragonBoat:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/SmallDragonBoat.cs:Server.Multis.SmallDragonBoat:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/TillerMan.cs:Server.Items.TillerMan:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/TinyBoat.cs:Server.Multis.TinyBoat:v0","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Vessels.cs:Server.Items.ShipEW:v1","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status NeedsSourceReview.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Vessels.cs:Server.Items.ShipNS:v1","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status NeedsSourceReview.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Vessels.cs:Server.Items.VesselsEW:v1","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status NeedsSourceReview.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Vessels.cs:Server.Items.VesselsNS:v1","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status NeedsSourceReview.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Vessels.cs:Server.Items.WreckEW:v1","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status NeedsSourceReview.","SerializationRegister"
"Boats","Item Object Graph","Serialization","Data/Scripts/Items/Boats/Vessels.cs:Server.Items.WreckNS:v1","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status NeedsSourceReview.","SerializationRegister"
"Boats","Map Object Graph","Serialization","Data/Scripts/Items/Boats/BaseBoat.cs:Server.Multis.BaseBoat:v3","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Mobile Object Graph","Serialization","Data/Scripts/Items/Boats/BaseBoat.cs:Server.Multis.BaseBoat:v3","Hard","Save","Serialized kind Item; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Mobile Object Graph","Serialization","Data/Scripts/Mobiles/Humanoids/Sailors/BoatPirates.cs:Server.Mobiles.BoatPirateArcher:v0","Hard","Save","Serialized kind Mobile; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Mobile Object Graph","Serialization","Data/Scripts/Mobiles/Humanoids/Sailors/BoatPirates.cs:Server.Mobiles.BoatPirateBard:v0","Hard","Save","Serialized kind Mobile; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Mobile Object Graph","Serialization","Data/Scripts/Mobiles/Humanoids/Sailors/BoatPirates.cs:Server.Mobiles.BoatPirateMage:v0","Hard","Save","Serialized kind Mobile; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Mobile Object Graph","Serialization","Data/Scripts/Mobiles/Humanoids/Sailors/BoatPirates.cs:Server.Mobiles.ElfBoatPirateArcher:v0","Hard","Save","Serialized kind Mobile; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Mobile Object Graph","Serialization","Data/Scripts/Mobiles/Humanoids/Sailors/BoatPirates.cs:Server.Mobiles.ElfBoatPirateBard:v0","Hard","Save","Serialized kind Mobile; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Mobile Object Graph","Serialization","Data/Scripts/Mobiles/Humanoids/Sailors/BoatPirates.cs:Server.Mobiles.ElfBoatPirateMage:v0","Hard","Save","Serialized kind Mobile; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Mobile Object Graph","Serialization","Data/Scripts/Mobiles/Humanoids/Sailors/BoatSailors.cs:Server.Mobiles.BoatSailorArcher:v0","Hard","Save","Serialized kind Mobile; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Mobile Object Graph","Serialization","Data/Scripts/Mobiles/Humanoids/Sailors/BoatSailors.cs:Server.Mobiles.BoatSailorBard:v0","Hard","Save","Serialized kind Mobile; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Mobile Object Graph","Serialization","Data/Scripts/Mobiles/Humanoids/Sailors/BoatSailors.cs:Server.Mobiles.BoatSailorMage:v0","Hard","Save","Serialized kind Mobile; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Mobile Object Graph","Serialization","Data/Scripts/Mobiles/Humanoids/Sailors/BoatSailors.cs:Server.Mobiles.ElfBoatSailorArcher:v0","Hard","Save","Serialized kind Mobile; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Mobile Object Graph","Serialization","Data/Scripts/Mobiles/Humanoids/Sailors/BoatSailors.cs:Server.Mobiles.ElfBoatSailorBard:v0","Hard","Save","Serialized kind Mobile; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Mobile Object Graph","Serialization","Data/Scripts/Mobiles/Humanoids/Sailors/BoatSailors.cs:Server.Mobiles.ElfBoatSailorMage:v0","Hard","Save","Serialized kind Mobile; move risk NamespaceOrTypeRenameDanger; review status MachineMapped.","SerializationRegister"
"Boats","Mobile Speech Hooks","RuntimeHook","Data/Scripts/Items/Boats/BaseBoat.cs:L2058:Speech","Hard","Runtime","Runtime hook map row; trigger: Mobile speech.","RuntimeHookMap"
"Boats","PlayerMobile Core","DirectReference","Data/Scripts/Items/Boats/BaseBoat.cs:L834:PlayerMobile","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","PlayerMobile Core","DirectReference","Data/Scripts/Items/Boats/BoatDoor.cs:L72:PlayerMobile","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","PlayerMobile Core","DirectReference","Data/Scripts/Items/Boats/Cargo.cs:L2904:PlayerMobile","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","Regions","DirectReference","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L86:Region","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","Regions","DirectReference","Data/Scripts/Items/Boats/BaseBoat.cs:L1207:Region","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","Regions","DirectReference","Data/Scripts/Items/Boats/BaseBoatDeed.cs:L6:Region","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","Regions","DirectReference","Data/Scripts/Items/Boats/BaseDockedBoat.cs:L5:Region","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","Regions","DirectReference","Data/Scripts/Items/Boats/BoatBuild.cs:L13:Region","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","Regions","DirectReference","Data/Scripts/Items/Boats/BoatDoor.cs:L12:Region","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","Regions","DirectReference","Data/Scripts/Items/Boats/Cargo.cs:L13:Region","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","Regions","DirectReference","Data/Scripts/Items/Boats/CarpetBuild.cs:L13:Region","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","Regions","DirectReference","Data/Scripts/Items/Boats/DockingLantern.cs:L13:Region","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","Regions","DirectReference","Data/Scripts/Items/Boats/Gumps/FindboatGump.cs:L49:Region","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","Regions","DirectReference","Data/Scripts/Items/Boats/Plank.cs:L305:Region","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
