"System","File","HookType","Marker","Line","Registration","Handler","Access","Trigger","Guards","Risk","Docs","CommentNeeded"
"Clone Offline Player Characters","Data/Scripts/Custom/NPC Control/StaffCommands/CloneMe.cs","Initialize","Initialize","15","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;DeletedGuard;NullGuard","Medium","docs/codebase-audit/outputs/system-cards/clone-offline-player-characters.md","ReviewLater"
"Custom:NPC Control","Data/Scripts/Custom/NPC Control/StaffCommands/GmMe.cs","Initialize","Initialize","12","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-npc-control.md","ReviewLater"
"Custom:NPC Control","Data/Scripts/Custom/NPC Control/StaffCommands/HearAll.cs","Initialize","Initialize","13","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-npc-control.md","ReviewLater"
"Custom:NPC Control","Data/Scripts/Custom/NPC Control/StaffCommands/Refresh.cs","Initialize","Initialize","12","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;DeletedGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-npc-control.md","ReviewLater"
"Custom:NPC Control","Data/Scripts/Custom/NPC Control/StaffCommands/SayThis.cs","Initialize","Initialize","14","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-npc-control.md","ReviewLater"
"Offline Skill Training","Data/Scripts/Custom/Offline Skill Training/Items/StudyBook.cs","Initialize","Initialize","391","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/offline-skill-training.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/OrbServer.cs","Initialize","Initialize","31","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/BuildDesignRequest.cs","Initialize","Initialize","18","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;NullGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/ClientCommands.cs","Initialize","Initialize","13","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;NullGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/ClientCommands.cs","Initialize","Initialize","53","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;NullGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/DeleteItemsCommand.cs","Initialize","Initialize","10","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;NullGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/ExtractItemsRequest.cs","Initialize","Initialize","24","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
