"RuntimeScriptPath","SizeBytes","LastWriteTime"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Ilhenir.cs","14724","2026-06-08T16:36:42.9538817-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/LordOaks.cs","7804","2026-04-25T13:24:29.2885655-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Mephitis.cs","3131","2026-04-25T13:24:29.2895654-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Neira.cs","9292","2026-04-25T13:24:29.2895654-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Rikktor.cs","5766","2026-06-08T16:36:52.5667914-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Semidar.cs","5384","2026-06-08T16:37:01.6277934-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Serado.cs","7561","2026-06-08T16:37:11.0023180-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Twaulo.cs","5730","2026-04-25T13:24:29.2905664-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Minions/Bogle.cs","1874","2026-04-25T13:24:29.2915664-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Minions/FerelTreefellow.cs","2427","2026-04-25T13:24:29.2915664-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Minions/FetidEssence.cs","3216","2026-04-25T13:24:29.2920703-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Minions/GreaterMongbat.cs","1970","2026-04-25T13:24:29.2920703-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Minions/Hiryu.cs","8727","2026-04-25T13:24:29.2920703-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Minions/InterredGrizzle .cs","5373","2026-06-08T16:37:19.3130391-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Minions/Kappa.cs","6235","2026-04-25T13:24:29.2920703-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Minions/LesserHiryu.cs","8742","2026-04-25T13:24:29.2920703-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Minions/Oni.cs","3142","2026-04-25T13:24:29.2935738-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Minions/PestilentBandage.cs","2718","2026-04-25T13:24:29.2935738-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Minions/PlagueBeast.cs","8351","2026-04-25T13:24:29.2935738-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Minions/PlagueBeastLord.cs","11757","2026-06-09T08:53:54.8292707-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Minions/PlagueSpawn.cs","4426","2026-04-25T13:24:29.2945779-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Minions/RagingGrizzlyBear.cs","2070","2026-04-25T13:24:29.2945779-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Minions/SerpentineDragon.cs","4266","2026-04-25T13:24:29.2945779-05:00"
"Data/Scripts/Custom/Champions/Mobiles/Minions/Silvani.cs","4339","2026-04-25T13:24:29.2955775-05:00"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionAltar.cs","1243","2026-04-25T13:24:29.2955775-05:00"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionPlatform.cs","2180","2026-04-25T13:24:29.2955775-05:00"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSkullBrazier.cs","5515","2026-04-25T13:24:29.2965777-05:00"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSkullPlatform.cs","5211","2026-04-25T13:24:29.2965777-05:00"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSkullType.cs","226","2026-04-25T13:24:29.2975786-05:00"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSpawn.cs","39307","2026-04-25T13:24:29.2975786-05:00"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSpawnInfo.cs","7685","2026-04-25T13:24:29.2975786-05:00"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSpawnRegion.cs","1156","2026-04-25T13:24:29.2985784-05:00"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSpawnType.cs","329","2026-04-25T13:24:29.2985784-05:00"
"Data/Scripts/Custom/Champions/System/CannedEvil/IdolOfTheChampion.cs","1520","2026-04-25T13:24:29.2985784-05:00"
"Data/Scripts/Custom/Champions/System/CannedEvil/RestartTimer.cs","488","2026-04-25T13:24:29.2995783-05:00"
