"System","File","HookType","Marker","Line","Registration","Handler","Access","Trigger","Guards","Risk","Docs","CommentNeeded"
"Custom:NPC Control","Data/Scripts/Custom/NPC Control/StaffCommands/HearAll.cs","Initialize","Initialize","13","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-npc-control.md","ReviewLater"
"Custom:NPC Control","Data/Scripts/Custom/NPC Control/StaffCommands/Refresh.cs","Initialize","Initialize","12","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;DeletedGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-npc-control.md","ReviewLater"
"Custom:NPC Control","Data/Scripts/Custom/NPC Control/StaffCommands/SayThis.cs","Initialize","Initialize","14","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-npc-control.md","ReviewLater"
"Offline Skill Training","Data/Scripts/Custom/Offline Skill Training/Items/StudyBook.cs","Initialize","Initialize","391","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/offline-skill-training.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/OrbServer.cs","Initialize","Initialize","31","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/BuildDesignRequest.cs","Initialize","Initialize","18","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;NullGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/ClientCommands.cs","Initialize","Initialize","13","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;NullGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/ClientCommands.cs","Initialize","Initialize","53","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;NullGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/DeleteItemsCommand.cs","Initialize","Initialize","10","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;NullGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/ExtractItemsRequest.cs","Initialize","Initialize","24","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/GetLocationRequest.cs","Initialize","Initialize","10","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;NullGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/MoveItemsCommand.cs","Initialize","Initialize","10","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;NullGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/SelectItemsRequest.cs","Initialize","Initialize","19","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","Initialize","Initialize","11","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","Initialize","Initialize","1026","public static void Initialize() { }","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/OzThothStaticGump/Side Gumps/AddAnimation.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/OzThothStaticGump/Side Gumps/AddArch.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Homestead","Data/Scripts/Custom/OzThothStaticGump/Side Gumps/AddCooking.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/homestead.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/OzThothStaticGump/Side Gumps/AddCustom.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/OzThothStaticGump/Side Gumps/AddDeco.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/OzThothStaticGump/Side Gumps/AddDungeon.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
