"Command","AccessLevel","Handler","File","Line","System","Guards","Risk","DuplicateCommandCount","RegistrationLine"
"","","","Data/Scripts/System/Misc/Party.cs","301","System:Misc","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Paths.cs","1506","System:Misc","AccessGuard;BoundsGuard;MapGuard;NullGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Players.cs","1476","System:Misc","AccessGuard;BoundsGuard;DeletedGuard;NullGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Players.cs","1485","System:Misc","AccessGuard;BoundsGuard;DeletedGuard;NullGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Misc/Spawning.cs","26","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","31","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","36","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","41","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","46","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","5253","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Misc/Spawning.cs","5286","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","5291","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","6464","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","7516","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","7521","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","7530","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Misc/Statistics.cs","106","System:Misc","AccessGuard;BoundsGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Statistics.cs","111","System:Misc","AccessGuard;BoundsGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Weather.cs","561","System:Misc","AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Weather.cs","570","System:Misc","AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register(command, access, handler);"
"world","Administrator","WhereWorld_OnCommand","Data/Scripts/System/Misc/World.cs","2595","System:Misc","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;RangeGuard;StateGuard","High","1","CommandSystem.Register(""world"", AccessLevel.Administrator, new CommandEventHandler(WhereWorld_OnCommand));"
"","","","Data/Scripts/System/Misc/World.cs","2599","System:Misc","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","10823","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","10828","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","10833","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","10838","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","10843","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","15432","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","22867","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","22873","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","22878","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","23612","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","32252","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/GuardedRegion.cs","32","Regions","AccessGuard;BoundsGuard;MapGuard;NullGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/GuardedRegion.cs","37","Regions","AccessGuard;BoundsGuard;MapGuard;NullGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/GuardedRegion.cs","42","Regions","AccessGuard;BoundsGuard;MapGuard;NullGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/Spawning/SpawnEntry.cs","378","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/Spawning/SpawnEntry.cs","383","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/Spawning/SpawnEntry.cs","388","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/Spawning/SpawnEntry.cs","393","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/Spawning/SpawnEntry.cs","398","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/Spawning/SpawnEntry.cs","403","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/Spawning/SpawnEntry.cs","408","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/Spawning/SpawnEntry.cs","413","Regions","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Skills/Weapon Abilities/SpecialAttackCommands.cs","13","System:Skills","AccessGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Skills/Weapon Abilities/SpecialAttackCommands.cs","18","System:Skills","AccessGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Skills/Weapon Abilities/SpecialAttackCommands.cs","23","System:Skills","AccessGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Skills/Weapon Abilities/SpecialAttackCommands.cs","28","System:Skills","AccessGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Skills/Weapon Abilities/SpecialAttackCommands.cs","33","System:Skills","AccessGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Skills/Weapon Abilities/SpecialAttackCommands.cs","38","System:Skills","AccessGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Skills/Weapon Abilities/SpecialAttackCommands.cs","43","System:Skills","AccessGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Skills/Weapon Abilities/SpecialAttackCommands.cs","48","System:Skills","AccessGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Skills/Weapon Abilities/SpecialAttackCommands.cs","53","System:Skills","AccessGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Skills/Weapon Abilities/SpecialAttackCommands.cs","58","System:Skills","AccessGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Skills/Weapon Abilities/SpecialAttacksDisplay.cs","13","System:Skills","AccessGuard;NullGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Skills/Weapon Abilities/SpecialAttacksDisplay.cs","18","System:Skills","AccessGuard;NullGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/System/Skills/Weapon Abilities/Gumps/SpecialAttackGump.cs","799","System:Skills","AccessGuard;BoundsGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Trades/Core/Recipes.cs","13","Crafting Core","AccessGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Trades/Core/Recipes.cs","18","Crafting Core","AccessGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
