"Path","Root","PrimaryRole","SecondaryRoles","System","Namespace","Types","IncludedInScriptsProject","ProjectTruthAction","Commands","Hooks","SerializedTypes","Gumps","ConfigData","Evidence"
"Data/Scripts/Custom/Invasion System/Underworld/StartstopTerortSkitasIlshenar.cs","Custom","GumpUI","StaffTooling;WorldState","Custom:Invasion System","Server.Gumps","class:StartStopTerortSkitasilsh","True","Keep","","","","OnResponse;SendGump","","gump marker; staff/event tooling path marker; world/quest/controller path marker"
"Data/Scripts/Custom/LOTR - The One Ring/RingWraith.cs","Custom","Persistence","","Custom:LOTR - The One Ring","Server.Mobiles","class:RingWraith","True","Keep","","","class:RingWraith","","","serialization marker"
"Data/Scripts/Custom/LOTR - The One Ring/TheOneRing.cs","Custom","Persistence","","Custom:LOTR - The One Ring","Server.Items","class:TheOneRing","True","Keep","","","class:TheOneRing","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Civilized/GraveRobber.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:GraveRobber","True","Keep","","","class:GraveRobber","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Civilized/Malachi.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Malachi","True","Keep","","","class:Malachi","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Civilized/RangerOfTheBritainMilitia.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:RangerOfTheBritainMilitia","True","Keep","","","class:RangerOfTheBritainMilitia","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Constructs/CursedAdventurer.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:CursedAdventurer","True","Keep","","","class:CursedAdventurer","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Constructs/DiosMonster.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:DiosMonster","True","Keep","","","class:DiosMonster","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Constructs/FinalExodus.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:FinalExodus","True","Keep","","","class:FinalExodus","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Constructs/ManaGolem.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:ManaGolem","True","Keep","","","class:ManaGolem","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Constructs/TombWarden.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:TombWarden","True","Keep","","","class:TombWarden","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Cultists/DarkCultist.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:DarkCultist","True","Keep","","","class:DarkCultist","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Cultists/DarkCultistApprentice.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:DarkCultistApprentice","True","Keep","","","class:DarkCultistApprentice","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Cultists/DarkDragonCultist.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:DarkDragonCultist","True","Keep","","","class:DarkDragonCultist","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Daemons/FallenAngel.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:FallenAngel","True","Keep","","","class:FallenAngel","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Daemons/GuardianOfTheUnderworld.cs","Custom","Persistence","WorldState","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:GuardianOfTheUnderworld","True","Keep","","","class:GuardianOfTheUnderworld","","","serialization marker; world/quest/controller path marker"
"Data/Scripts/Custom/Mobiles/Daemons/PlagueGod.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:PlagueGod","True","Keep","","","class:PlagueGod","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Daemons/TombPest.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:TombPest","True","Keep","","","class:TombPest","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Dragons/DarkDragonAvatar.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:DarkDragonAvatar","True","Keep","","","class:DarkDragonAvatar","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Dragons/DragonHydra.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:DragonHydra","True","Keep","","","class:DragonHydra","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Dragons/DragonIllusion.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:DragonIllusion","True","Keep","","","class:DragonIllusion","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Dragons/Wyrmling.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Wyrmling","True","Keep","","","class:Wyrmling","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Elementals/FireIllusion.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:FireIllusion","True","Keep","","","class:FireIllusion","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Elementals/FireKing.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:FireKing","True","Keep","","","class:FireKing","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Elementals/FireServant.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:FireServant","True","Keep","","","class:FireServant","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Elementals/FireSpirit.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:FireSpirit","True","Keep","","","class:FireSpirit","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Elementals/Geode.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Geode","True","Keep","","","class:Geode","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Elementals/GrumpyEarthSpirit.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:GrumpyEarthSpirit","True","Keep","","","class:GrumpyEarthSpirit","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Elementals/SkySpirit.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:SkySpirit","True","Keep","","","class:SkySpirit","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/ArmageddonEngine.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:ArmageddonEngine","True","Keep","","","class:ArmageddonEngine","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/Assassin.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Assassin","True","Keep","","","class:Assassin","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/Atlantian.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Atlantian","True","Keep","","","class:Atlantian","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/AtlantianParagon.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:AtlantianParagon","True","Keep","","","class:AtlantianParagon","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/BanditKing.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:BanditKing","True","Keep","","","class:BanditKing","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/BlackbartRoberts.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:BlackbartRoberts","True","Keep","","","class:BlackbartRoberts","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/Crusader.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Crusader","True","Keep","","","class:Crusader","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/DeepOne.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:DeepOne","True","Keep","","","class:DeepOne","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/Forgotten.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Forgotten","True","Keep","","","class:Forgotten","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/ForgottenCreation.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:ForgottenCreation","True","Keep","","","class:ForgottenCreation","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/Garuda.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Garuda","True","Keep","","","class:Garuda","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/GoblinRanger.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:GoblinRanger","True","Keep","","","class:GoblinRanger","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/Godfrey2026Support.cs","Custom","Unknown","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Godfrey2026Support","True","Keep","","","","","","no Phase 1 marker or path classifier matched"
"Data/Scripts/Custom/Mobiles/Godfrey2026/GreatOldOne.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:GreatOldOne","True","Keep","","","class:GreatOldOne","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/ManOWar.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:ManOWar","True","Keep","","","class:ManOWar","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/Nero.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Nero","True","Keep","","","class:Nero","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/OldManWillow.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:OldManWillow","True","Keep","","","class:OldManWillow","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/Olympus.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Olympus","True","Keep","","","class:Olympus","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/Paladin.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Paladin","True","Keep","","","class:Paladin","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/Scientist.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Scientist","True","Keep","","","class:Scientist","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/SeaWitch.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:SeaWitch","True","Keep","","","class:SeaWitch","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/Skinwalker.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Skinwalker","True","Keep","","","class:Skinwalker","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/Stitches.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Stitches","True","Keep","","","class:Stitches","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/TreasureGoblin.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:TreasureGoblin","True","Keep","","","class:TreasureGoblin","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/Triton.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Triton","True","Keep","","","class:Triton","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/Unspeakable.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Unspeakable","True","Keep","","","class:Unspeakable","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Godfrey2026/UrukKai.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:UrukKai","True","Keep","","","class:UrukKai","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Goliaths/Atlas.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Atlas","True","Keep","","","class:Atlas","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Goliaths/CyclopsIntruder.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:CyclopsIntruder","True","Keep","","","class:CyclopsIntruder","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Goliaths/TwoFace.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:TwoFace","True","Keep","","","class:TwoFace","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Kobolds/KoboldChief.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:KoboldChief","True","Keep","","","class:KoboldChief","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Kobolds/KoboldFootSoldier.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:KoboldFootSoldier","True","Keep","","","class:KoboldFootSoldier","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Kobolds/KoboldRingleader.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:KoboldRingleader","True","Keep","","","class:KoboldRingleader","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Minotaurs/MazeMinotaur.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:MazeMinotaur","True","Keep","","","class:MazeMinotaur","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Minotaurs/MazeMinotaurEast.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:MazeMinotaurEast","True","Keep","","","class:MazeMinotaurEast","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Minotaurs/MazeMinotaurSouth.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:MazeMinotaurSouth","True","Keep","","","class:MazeMinotaurSouth","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Mystical/Archon.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Archon","True","Keep","","","class:Archon","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Mystical/EternalGuardian.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:EternalGuardian","True","Keep","","","class:EternalGuardian","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Mystical/Lovecraftian.cs","Custom","Persistence","Crafting","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Lovecraftian","True","Keep","","","class:Lovecraftian","","","crafting/trades path marker; serialization marker"
"Data/Scripts/Custom/Mobiles/Mystical/TrueVirtue.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:TrueVirtue","True","Keep","","","class:TrueVirtue","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Pirates/CaptainSwag.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:CaptainSwag","True","Keep","","","class:CaptainSwag","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Pirates/Pirate.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Pirate","True","Keep","","","class:Pirate","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Pirates/Scallywag.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Scallywag","True","Keep","","","class:Scallywag","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Serpents/FireAngel.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:FireAngel","True","Keep","","","class:FireAngel","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Serpents/ImmortalGenie.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:ImmortalGenie","True","Keep","","","class:ImmortalGenie","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Spiders/SpiderIllusion.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:SpiderIllusion","True","Keep","","","class:SpiderIllusion","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Spiders/Spiderling.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Spiderling","True","Keep","","","class:Spiderling","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Spiders/SpiderQueen.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:SpiderQueen","True","Keep","","","class:SpiderQueen","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Titans/FalseEarthGod.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:FalseEarthGod","True","Keep","","","class:FalseEarthGod","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Titans/FalseFireGod.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:FalseFireGod","True","Keep","","","class:FalseFireGod","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Titans/FalseSeaGod.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:FalseSeaGod","True","Keep","","","class:FalseSeaGod","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Titans/FalseWindGod.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:FalseWindGod","True","Keep","","","class:FalseWindGod","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Titans/Herculian.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Herculian","True","Keep","","","class:Herculian","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/Beholder.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Beholder","True","Keep","","","class:Beholder","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/CryptKeeper.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:CryptKeeper","True","Keep","","","class:CryptKeeper","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/EvilDruid.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:EvilDruid","True","Keep","","","class:EvilDruid","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/GhostOfLadyEverdear.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:GhostOfLadyEverdear","True","Keep","","","class:GhostOfLadyEverdear","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/Honorguard.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Honorguard","True","Keep","","","class:Honorguard","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/OldKingWolfgang.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:OldKingWolfgang","True","Keep","","","class:OldKingWolfgang","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/Rattlebones.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Rattlebones","True","Keep","","","class:Rattlebones","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/RedDeath.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:RedDeath","True","Keep","","","class:RedDeath","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/RoyalSwordmaster.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:RoyalSwordmaster","True","Keep","","","class:RoyalSwordmaster","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/RuneKnight.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:RuneKnight","True","Keep","","","class:RuneKnight","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/Servant.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Servant","True","Keep","","","class:Servant","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/TheGroundskeeper.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:TheGroundskeeper","True","Keep","","","class:TheGroundskeeper","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/TheMadDuke.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:TheMadDuke","True","Keep","","","class:TheMadDuke","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/TheNecromancer.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:TheNecromancer","True","Keep","","","class:TheNecromancer","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/TombWatcher.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:TombWatcher","True","Keep","","","class:TombWatcher","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/VampireIllusion.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:VampireIllusion","True","Keep","","","class:VampireIllusion","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/VoidWraith.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:VoidWraith","True","Keep","","","class:VoidWraith","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/WalkingEffigy.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:WalkingEffigy","True","Keep","","","class:WalkingEffigy","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Undead/WolfgangsDragon.cs","Custom","Persistence","","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:WolfgangsDragon","True","Keep","","","class:WolfgangsDragon","","","serialization marker"
"Data/Scripts/Custom/Mobiles/Vendors/Gort.cs","Custom","Persistence","Economy","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Gort","True","Keep","","","class:Gort","","","economy/government path marker; serialization marker"
"Data/Scripts/Custom/Mobiles/Vendors/Siddo.cs","Custom","Persistence","Economy","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:Siddo","True","Keep","","","class:Siddo","","","economy/government path marker; serialization marker"
"Data/Scripts/Custom/Mobiles/Vendors/SirGideon.cs","Custom","Persistence","Economy","Custom:Mobiles","Server.Custom.Confictura.Mobiles","class:SirGideon","True","Keep","","","class:SirGideon","","","economy/government path marker; serialization marker"
"Data/Scripts/Custom/MonsterNest/MonsterNest.cs","Custom","StartupWiring","Persistence;WorldState","Custom:MonsterNest","Server.Items","class:MonsterNest;class:RegenTimer;class:InternalTimer","True","Keep","","CustomTimerSubclass","class:MonsterNest;class:RegenTimer;class:InternalTimer","","","serialization marker; startup/event/timer/world marker; world/quest/controller path marker"
"Data/Scripts/Custom/MonsterNest/MonsterNestEntity.cs","Custom","Persistence","WorldState","Custom:MonsterNest","Server.Mobiles","class:MonsterNestEntity","True","Keep","","","class:MonsterNestEntity","","","serialization marker; world/quest/controller path marker"
"Data/Scripts/Custom/MonsterNest/MonsterNestLoot.cs","Custom","StartupWiring","Persistence;WorldState","Custom:MonsterNest","Server.Items","class:MonsterNestLoot;class:RegenTimer;class:SpawnTimer","True","Keep","","CustomTimerSubclass","class:MonsterNestLoot;class:RegenTimer;class:SpawnTimer","","","serialization marker; startup/event/timer/world marker; world/quest/controller path marker"
"Data/Scripts/Custom/MonsterNest/Types/LizardmanNest.cs","Custom","Persistence","WorldState","Custom:MonsterNest","Server.Custom.Confictura","class:LizardmanNest","True","Keep","","","class:LizardmanNest","","","serialization marker; world/quest/controller path marker"
"Data/Scripts/Custom/MonsterNest/Types/RatmanNest.cs","Custom","Persistence","WorldState","Custom:MonsterNest","Server.Custom.Confictura","class:RatmanNest","True","Keep","","","class:RatmanNest","","","serialization marker; world/quest/controller path marker"
"Data/Scripts/Custom/MonsterNest/Types/UndeadNest.cs","Custom","Persistence","WorldState","Custom:MonsterNest","Server.Items","class:UndeadNest","True","Keep","","","class:UndeadNest","","","serialization marker; world/quest/controller path marker"
"Data/Scripts/Custom/NPC Control/CloneCommands.cs","Custom","CommandSurface","StartupWiring;Persistence","Custom:NPC Control","Server.Commands","class:CloneCommands;class:CloneTarget;class:ControlTarget;class:CloneItem;class:ControlItem","True","Keep","Clone:;CommandSystem.Register(","Initialize","class:CloneCommands;class:CloneTarget;class:ControlTarget;class:CloneItem;class:ControlItem","","","CommandSystem.Register marker; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Custom/NPC Control/StaffCommands/CloneMe.cs","Custom","CommandSurface","StartupWiring;StaffTooling","Custom:NPC Control","Server.Commands","class:CloneMeCommand","True","Keep","CommandSystem.Register(","Initialize","","","","CommandSystem.Register marker; staff/event tooling path marker; startup/event/timer/world marker"
"Data/Scripts/Custom/NPC Control/StaffCommands/GmMe.cs","Custom","CommandSurface","StartupWiring;StaffTooling","Custom:NPC Control","Server.Commands","class:GmMeCommand","True","Keep","GmMe:","Initialize","","","","CommandSystem.Register marker; staff/event tooling path marker; startup/event/timer/world marker"
"Data/Scripts/Custom/NPC Control/StaffCommands/HearAll.cs","Custom","CommandSurface","StartupWiring;StaffTooling","Custom:NPC Control","Server.Commands","class:HearAllCommand","True","Keep","CommandSystem.Register(","EventSink;Initialize","","","","CommandSystem.Register marker; staff/event tooling path marker; startup/event/timer/world marker"
"Data/Scripts/Custom/NPC Control/StaffCommands/Refresh.cs","Custom","CommandSurface","StartupWiring;StaffTooling","Custom:NPC Control","Server.Commands","class:RefreshCommand;class:FreshTarget","True","Keep","CommandSystem.Register(","Initialize","","","","CommandSystem.Register marker; staff/event tooling path marker; startup/event/timer/world marker"
"Data/Scripts/Custom/NPC Control/StaffCommands/SayThis.cs","Custom","CommandSurface","StartupWiring;StaffTooling","Custom:NPC Control","Server.Commands","class:SayThisCommand;class:SayThisTarget","True","Keep","CommandSystem.Register(","Initialize","","","","CommandSystem.Register marker; staff/event tooling path marker; startup/event/timer/world marker"
