"Path","Namespace","Types","LikelySystem"
"Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs","Server.Items","class:PlagueBeastInnard;class:PlagueBeastComponent","Custom:Champions"
"Data/Scripts/Custom/Champions/Items/PlagueBeastMutationCore.cs","Server.Items","class:PlagueBeastMutationCore","Custom:Champions"
"Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Server.Items","class:PlagueBeastOrgan;class:PlagueBeastMaidenOrgan;class:PlagueBeastRockOrgan;class:PlagueBeastRubbleOrgan;class:PlagueBeastBackupOrgan;class:PlagueBeastMainOrgan","Custom:Champions"
"Data/Scripts/Custom/Champions/Items/PlagueBeastVein.cs","Server.Items","class:PlagueBeastVein","Custom:Champions"
"Data/Scripts/Custom/Champions/Items/UnholyBone.cs","Server.Items","class:UnholyBone;class:SpawnTimer","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Adimarchus.cs","Server.Mobiles","class:Adimarchus","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Bahamut.cs","Server.Mobiles","class:Bahamut","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Balar.cs","Server.Mobiles","class:Balar","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Brona.cs","Server.Mobiles","class:Brona","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Conan.cs","Server.Mobiles","class:Conan","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Demogorgon.cs","Server.Mobiles","class:Demogorgon","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Elric.cs","Server.Mobiles","class:Elric","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/GrimReaper.cs","Server.Mobiles","class:GrimReaper","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Hercules.cs","Server.Mobiles","class:Hercules","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/KingArthur.cs","Server.Mobiles","class:KingArthur","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Kronos.cs","Server.Mobiles","class:Kronos","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Lolth.cs","Server.Mobiles","class:Lolth","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/LordVerminaard.cs","Server.Mobiles","class:LordVerminaard","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Merlin.cs","Server.Mobiles","class:Merlin","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Nosferatu.cs","Server.Mobiles","class:Nosferatu","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Orcus.cs","Server.Mobiles","class:Orcus","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/RedSonja.cs","Server.Mobiles","class:RedSonja","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Saruman.cs","Server.Mobiles","class:Saruman","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Talos.cs","Server.Mobiles","class:Talos","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Thor.cs","Server.Mobiles","class:Thor","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Tiamat.cs","Server.Mobiles","class:Tiamat","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Treebeard.cs","Server.Mobiles","class:Treebeard","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Vecna.cs","Server.Mobiles","class:Vecna","Custom:Champions"
