"Command","AccessLevel","Handler","File","Line","LikelySystem","RegistrationLine"
"","","","Data/Scripts/System/Commands/Wipe.cs","33","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Wipe.cs","38","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Gumps/Adddoorgump.cs","102","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Gumps/AdminGump.cs","150","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Gumps/ScanGump.cs","17","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Implementors/BaseCommandImplementor.cs","334","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Implementors/SingleCommandImplementor.cs","25","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/Afk.cs","22","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/AutoAttack.cs","13","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/AutoSheatheWeapon.cs","42","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/BandSelf.cs","14","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/BandSelf.cs","48","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/ClassicPoisoning.cs","13","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/CorpseSearch.cs","20","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/CorpseSearch.cs","29","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/CorpseSearch.cs","133","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/CorpseSearch.cs","142","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/Emote.cs","18","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/Emote.cs","985","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/Loot.cs","116","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/Loot.cs","125","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/MoonSearch.cs","20","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/MoonSearch.cs","29","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/MusicPlayer.cs","17","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/MusicPlaylist.cs","21","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/MusicPlaylist.cs","30","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/PlayBarbaric.cs","13","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/PlayEvil.cs","13","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/PlayOriental.cs","13","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/PrivateTime.cs","13","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/QuickBar.cs","26","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/QuickBar.cs","35","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/RegBar.cs","26","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/RegBar.cs","31","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/RegBar.cs","40","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SkillListing.cs","40","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SkillName.cs","13","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/Skills.cs","15","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","34","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","43","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","69","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","78","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","95","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","104","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","121","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","130","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","147","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","156","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","173","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","182","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","199","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","208","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","225","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","234","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","251","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","260","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","277","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","286","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","303","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","312","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","329","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","338","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","355","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","364","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","381","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","390","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","407","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","416","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","433","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","442","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","459","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","468","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","485","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","494","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","511","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","520","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","537","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","546","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","563","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","572","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","589","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","598","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","615","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsCommands.cs","624","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","42","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","51","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","3462","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","3471","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","6881","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","6890","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","10300","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","10309","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","13719","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","13728","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","15655","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","15664","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","17591","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","17600","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","19527","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","19536","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","21463","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","21472","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","23228","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","23237","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","24993","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","25002","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","25567","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","25576","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","26141","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","26150","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","26512","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","26521","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","26883","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","26892","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","27428","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","27437","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","27982","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","27991","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","28507","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","28516","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","29032","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","29041","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","29557","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","29566","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","30073","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","30082","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","30464","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs","30473","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","38","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","47","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","1243","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","1252","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","2435","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","2444","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","3627","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","3636","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","4819","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","4828","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","6000","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","6009","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","7181","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","7190","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","8362","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","8371","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","9543","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","9552","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","10264","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","10273","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","10985","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","10994","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","11429","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","11438","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","11873","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","11882","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","12202","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","12211","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","12531","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","12540","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","12959","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","12968","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","13387","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","13396","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","13784","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","13793","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","14181","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","14190","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","14576","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","14585","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","14971","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","14980","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","15300","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/SpellBarsManage.cs","15309","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Commands/Player/SpellHue.cs","19","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/WealthBar.cs","26","System:Commands","CommandSystem.Register("
"","","","Data/Scripts/System/Commands/Player/WealthBar.cs","35","System:Commands","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Gumps/AddGump.cs","20","System:Gumps","CommandSystem.Register("
"","","","Data/Scripts/System/Gumps/ToTAdminGump.cs","163","System:Gumps","CommandSystem.Register("
"","","","Data/Scripts/System/Gumps/ViewHousesGump.cs","17","System:Gumps","CommandSystem.Register("
"","","","Data/Scripts/System/Gumps/WhoGump.cs","13","System:Gumps","CommandSystem.Register("
"","","","Data/Scripts/System/Gumps/WhoGump.cs","18","System:Gumps","CommandSystem.Register("
"","","","Data/Scripts/System/Help/PageQueue.cs","190","System:Help","CommandSystem.Register("
"","","","Data/Scripts/System/Help/SpeechLog.cs","25","System:Help","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Accounts.cs","387","System:Misc","CommandSystem.Register("
"Restart","Administrator","","Data/Scripts/System/Misc/AutoRestart.cs","32","System:Misc","CommandSystem.Register(""Restart"", AccessLevel.Administrator, Restart_OnCommand);"
"","","","Data/Scripts/System/Misc/AutoRestart.cs","33","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/AutoRestart.cs","38","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/AutoRestart.cs","43","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/AutoRestart.cs","48","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/AutoRestart.cs","53","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/AutoRestart.cs","58","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/AutoRestart.cs","63","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/AutoRestart.cs","68","System:Misc","CommandSystem.Register("
"AR-On","Administrator","","Data/Scripts/System/Misc/AutoRestart.cs","73","System:Misc","CommandSystem.Register(""AR-On"", AccessLevel.Administrator, AutoRestartOn_OnCommand);"
"AR-Off","Administrator","","Data/Scripts/System/Misc/AutoRestart.cs","74","System:Misc","CommandSystem.Register(""AR-Off"", AccessLevel.Administrator, AutoRestartOff_OnCommand);"
"AR-When","Administrator","","Data/Scripts/System/Misc/AutoRestart.cs","75","System:Misc","CommandSystem.Register(""AR-When"", AccessLevel.Administrator, AutoRestartWhen_OnCommand);"
"AR-Time","Administrator","","Data/Scripts/System/Misc/AutoRestart.cs","76","System:Misc","CommandSystem.Register(""AR-Time"", AccessLevel.Administrator, AutoRestartTime_OnCommand);"
"","","","Data/Scripts/System/Misc/AutoRestart.cs","77","System:Misc","CommandSystem.Register("
"AR-Text","Administrator","","Data/Scripts/System/Misc/AutoRestart.cs","82","System:Misc","CommandSystem.Register(""AR-Text"", AccessLevel.Administrator, AutoRestartText_OnCommand);"
"AR-Save","Administrator","","Data/Scripts/System/Misc/AutoRestart.cs","83","System:Misc","CommandSystem.Register(""AR-Save"", AccessLevel.Administrator, AutoRestartSave_OnCommand);"
"AR-Load","Administrator","","Data/Scripts/System/Misc/AutoRestart.cs","84","System:Misc","CommandSystem.Register(""AR-Load"", AccessLevel.Administrator, AutoRestartLoad_OnCommand);"
"","","","Data/Scripts/System/Misc/AutoSave.cs","26","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Build.cs","36023","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Build.cs","86790","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Build.cs","86860","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Captcha.cs","1124","System:Misc","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Misc/DoorGenerator.cs","336","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Guilds.cs","693","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/HardwareInfo.cs","199","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/LanguageStatistics.cs","343","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/LightCycle.cs","41","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/MorphingTime.cs","4966","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/MOTD.cs","149","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Naming.cs","139","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Party.cs","301","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Paths.cs","1506","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Players.cs","1476","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Players.cs","1485","System:Misc","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Misc/Spawning.cs","26","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","31","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","36","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","41","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","46","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","5253","System:Misc","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Misc/Spawning.cs","5286","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","5291","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","6464","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","7516","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","7521","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Spawning.cs","7530","System:Misc","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Misc/Statistics.cs","106","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Statistics.cs","111","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Weather.cs","561","System:Misc","CommandSystem.Register("
"","","","Data/Scripts/System/Misc/Weather.cs","570","System:Misc","CommandSystem.Register(command, access, handler);"
"world","Administrator","WhereWorld_OnCommand","Data/Scripts/System/Misc/World.cs","2595","System:Misc","CommandSystem.Register(""world"", AccessLevel.Administrator, new CommandEventHandler(WhereWorld_OnCommand));"
"","","","Data/Scripts/System/Misc/World.cs","2599","System:Misc","CommandSystem.Register(command, access, handler);"
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","10823","System:Obsolete","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","10828","System:Obsolete","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","10833","System:Obsolete","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","10838","System:Obsolete","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","10843","System:Obsolete","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","15432","System:Obsolete","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","22867","System:Obsolete","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","22873","System:Obsolete","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","22878","System:Obsolete","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","23612","System:Obsolete","CommandSystem.Register("
"","","","Data/Scripts/System/Obsolete/Obsolete.cs","32252","System:Obsolete","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/GuardedRegion.cs","32","System:Regions","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/GuardedRegion.cs","37","System:Regions","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/GuardedRegion.cs","42","System:Regions","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/Spawning/SpawnEntry.cs","378","System:Regions","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/Spawning/SpawnEntry.cs","383","System:Regions","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/Spawning/SpawnEntry.cs","388","System:Regions","CommandSystem.Register("
"","","","Data/Scripts/System/Regions/Spawning/SpawnEntry.cs","393","System:Regions","CommandSystem.Register("
