"RecordType","Path","IncludePath","ExistsOnDisk","IncludedInScriptsProject","MissingCompileTarget","UnincludedSource","GeneratedOrOutput","DriftClass","LikelySystem","RuntimeMarkers","Types","Action"
"ProjectInclude","Data/Scripts/Custom/Government System/CityUpgradeSystem.cs","Custom\Government System\CityUpgradeSystem.cs","True","True","False","False","False","","Custom:Government System","CommandSystem.Register;Initialize;WorldSave","class:CityUpgradeSystem","Keep"
"ProjectInclude","Data/Scripts/Custom/Government System/GovernmentTestingMode.cs","Custom\Government System\GovernmentTestingMode.cs","True","True","False","False","False","","Custom:Government System","","class:GovernmentTestingMode","Keep"
"ProjectInclude","Data/Scripts/Custom/Government System/Commands/AdminAdd.cs","Custom\Government System\Commands\AdminAdd.cs","True","True","False","False","False","","Custom:Government System","CommandSystem.Register;Initialize;SendGump","class:AdminAddCommand","Keep"
"ProjectInclude","Data/Scripts/Custom/Government System/Commands/FindCities.cs","Custom\Government System\Commands\FindCities.cs","True","True","False","False","False","","Custom:Government System","CommandSystem.Register;Initialize;SendGump","class:FindCitiesCommand","Keep"
"ProjectInclude","Data/Scripts/Custom/Government System/Commands/GovHelp.cs","Custom\Government System\Commands\GovHelp.cs","True","True","False","False","False","","Custom:Government System","CommandSystem.Register;Initialize;SendGump","class:GovHelpCommand","Keep"
"ProjectInclude","Data/Scripts/Custom/Government System/Commands/GovernmentTestingCommand.cs","Custom\Government System\Commands\GovernmentTestingCommand.cs","True","True","False","False","False","","Custom:Government System","CommandSystem.Register;Initialize","class:GovernmentTestingCommand","Keep"
"ProjectInclude","Data/Scripts/Custom/Government System/Gumps/AcceptJoinGump.cs","Custom\Government System\Gumps\AcceptJoinGump.cs","True","True","False","False","False","","Custom:Government System","OnResponse","class:AcceptJoinGump","Keep"
"ProjectInclude","Data/Scripts/Custom/Government System/Gumps/AdminAddGump.cs","Custom\Government System\Gumps\AdminAddGump.cs","True","True","False","False","False","","Custom:Government System","OnResponse;SendGump","class:AdminAddGump","Keep"
"ProjectInclude","Data/Scripts/Custom/Government System/Gumps/AssistMayorGump.cs","Custom\Government System\Gumps\AssistMayorGump.cs","True","True","False","False","False","","Custom:Government System","OnResponse;SendGump","class:AssistMayorGump","Keep"
"ProjectInclude","Data/Scripts/Custom/Government System/Gumps/CancelAllegiancesGump.cs","Custom\Government System\Gumps\CancelAllegiancesGump.cs","True","True","False","False","False","","Custom:Government System","OnResponse;SendGump","class:CancelAllegiancesGump","Keep"
"ProjectInclude","Data/Scripts/Custom/Government System/Gumps/ChangeCitizenTitleGump.cs","Custom\Government System\Gumps\ChangeCitizenTitleGump.cs","True","True","False","False","False","","Custom:Government System","OnResponse;SendGump","class:ChangeCitizenTitleGump","Keep"
"ProjectInclude","Data/Scripts/Custom/Government System/Gumps/CityCitizenGump.cs","Custom\Government System\Gumps\CityCitizenGump.cs","True","True","False","False","False","","Custom:Government System","OnResponse;SendGump","class:CityCitizenGump","Keep"
