"DocPath","Indexed","SourceTrace","CodeVerified","NeedsRework","LegacySlug","LocalMarkdownLinkCount","NormalizedSlug","CanonicalOrAlias"
"docs/codebase-audit/outputs/system-cards/homestead.md","False","False","False","False","False","0","homestead","Unknown"
"docs/codebase-audit/outputs/system-cards/housing.md","False","False","False","False","False","0","housing","Unknown"
"docs/codebase-audit/outputs/system-cards/invasion.md","False","False","False","False","False","0","invasion","Unknown"
"docs/codebase-audit/outputs/system-cards/magic-schools.md","False","False","False","False","False","0","magic-schools","Unknown"
"docs/codebase-audit/outputs/system-cards/monster-nests.md","False","False","False","False","False","0","monster-nests","Unknown"
"docs/codebase-audit/outputs/system-cards/obsolete-scripts.md","False","False","False","False","False","0","obsolete-scripts","Unknown"
"docs/codebase-audit/outputs/system-cards/offline-skill-training.md","True","False","False","False","False","0","offline-skill-training","Unknown"
"docs/codebase-audit/outputs/system-cards/omniai.md","True","False","False","False","False","0","omniai","Unknown"
"docs/codebase-audit/outputs/system-cards/playermobile-core.md","False","False","False","False","False","0","playermobile-core","Unknown"
"docs/codebase-audit/outputs/system-cards/pvp-consent.md","False","False","False","False","False","0","pvp-consent","Unknown"
"docs/codebase-audit/outputs/system-cards/random-encounters.md","False","False","False","False","False","0","random-encounters","Unknown"
"docs/codebase-audit/outputs/system-cards/regions.md","False","False","False","False","False","0","regions","Unknown"
"docs/codebase-audit/outputs/system-cards/spell-framework.md","False","False","False","False","False","0","spell-framework","Unknown"
"docs/codebase-audit/outputs/system-cards/staff-toolbar.md","False","False","False","False","False","0","staff-toolbar","Unknown"
"docs/codebase-audit/outputs/system-cards/static-gump-tool.md","False","False","False","False","False","0","static-gump-tool","Unknown"
"docs/codebase-audit/outputs/system-cards/vendor-core.md","False","False","False","False","False","0","vendor-core","Unknown"
"docs/codebase-audit/outputs/system-cards/xmlspawner.md","False","False","False","False","False","0","xmlspawner","Unknown"
"docs/codebase-audit/tools/README.md","False","False","False","False","False","3","readme","AliasOrCanonicalMention"
"docs/codebase-audit-phases/phase-00-baseline-and-guardrails.md","False","False","False","False","False","0","phase-00-baseline-and-guardrails","Unknown"
"docs/codebase-audit-phases/phase-01-reproducible-inventory-scripts.md","False","False","True","True","True","0","phase-01-reproducible-inventory-scripts","AliasOrCanonicalMention"
"docs/codebase-audit-phases/phase-02-build-and-project-truth.md","False","False","False","False","False","0","phase-02-build-and-project-truth","Unknown"
"docs/codebase-audit-phases/phase-03-cross-tree-runtime-inventory.md","False","False","False","False","False","0","phase-03-cross-tree-runtime-inventory","Unknown"
"docs/codebase-audit-phases/phase-04-system-cards.md","False","False","False","False","False","0","phase-04-system-cards","Unknown"
"docs/codebase-audit-phases/phase-05-runtime-hook-map.md","False","False","False","False","False","0","phase-05-runtime-hook-map","Unknown"
"docs/codebase-audit-phases/phase-06-serialization-and-save-compatibility.md","False","False","False","False","False","0","phase-06-serialization-and-save-compatibility","Unknown"
