Cassandra the Elder Scholar had slain a hell hound#August 31, 2023 at 09:32
Cassandra the Elder Scholar had slain Sorz the magician of fire#August 31, 2023 at 09:32
Cassandra the Elder Scholar had slain a gazer#August 31, 2023 at 09:32
Cassandra the Elder Scholar had slain a cinder elemental#August 31, 2023 at 09:32
Cassandra the Elder Scholar had slain a gazer#August 31, 2023 at 09:32
Cassandra the Elder Scholar had slain a magma elemental#August 31, 2023 at 09:32
Cassandra the Elder Scholar had slain an ashen gargoyle#August 31, 2023 at 09:32
Cassandra the Elder Scholar had slain a cinder elemental#August 31, 2023 at 09:31
Cassandra the Elder Scholar had slain an ashen gargoyle#August 31, 2023 at 09:31
Cassandra the Elder Scholar had slain a skeletal guard#August 31, 2023 at 09:31
Cassandra the Elder Scholar had slain a fire toad#August 31, 2023 at 09:31
Cassandra the Elder Scholar had slain a fire steed#August 31, 2023 at 09:31
Cassandra the Elder Scholar had slain a magma snake#August 31, 2023 at 09:30
Cassandra the Elder Scholar had slain a greenscale dragon#August 31, 2023 at 09:28
Cassandra the Elder Scholar had slain Darvain the warlock of the glade#August 31, 2023 at 09:12
Cassandra the Elder Scholar had slain a skeletal knight#August 31, 2023 at 09:11
Cassandra the Elder Scholar had slain Tonakilr the mephit#August 31, 2023 at 09:09
Cassandra the Elder Scholar had slain Avella the assassin#August 31, 2023 at 09:08
Cassandra the Elder Scholar had slain a skeletal mage#August 31, 2023 at 09:08
Cassandra the Elder Scholar had slain a spectre#August 31, 2023 at 09:07
Cassandra the Elder Scholar had slain a spectre#August 31, 2023 at 09:07
Cassandra the Elder Scholar had slain Xystil the wizard of ice#August 31, 2023 at 09:07
Cassandra the Elder Scholar had slain Somotaahret the quasit#August 31, 2023 at 09:06
Cassandra the Elder Scholar had slain a skeletal mage#August 31, 2023 at 09:06
Cassandra the Elder Scholar had slain Lorrecka the wizard of the woods#August 31, 2023 at 09:05
Cassandra the Elder Scholar had slain Sapcedar the ancient reaper#August 31, 2023 at 09:05
Cassandra the Elder Scholar had slain a water elemental#August 31, 2023 at 09:05
Cassandra the Elder Scholar had slain a water elemental#August 31, 2023 at 09:04
Cassandra the Elder Scholar had slain a skeletal mage#August 31, 2023 at 09:04
Cassandra the Elder Scholar had slain a spectre#August 31, 2023 at 09:04
Cassandra the Elder Scholar had slain Kashiwa the samurai#August 31, 2023 at 09:04
Cassandra the Elder Scholar had slain a gazer#August 31, 2023 at 09:04
Cassandra the Elder Scholar had slain a cave bear#August 31, 2023 at 09:01
Cassandra the Elder Scholar had slain an ogre#August 31, 2023 at 09:01
Cassandra the Elder Scholar had slain a giant serpent#August 31, 2023 at 09:01
Cassandra the Elder Scholar had slain Rurigig the orc shaman#August 31, 2023 at 09:01
Cassandra the Elder Scholar had slain an ogre lord#August 31, 2023 at 09:00
Cassandra the Elder Scholar had slain an ettin#August 31, 2023 at 08:59
Cassandra the Elder Scholar had slain a cave bear#August 31, 2023 at 08:59
Cassandra the Elder Scholar had slain a troll#August 31, 2023 at 08:59
Cassandra the Elder Scholar had slain an ogre#August 31, 2023 at 08:59
Cassandra the Elder Scholar had slain Xutag the orc#August 31, 2023 at 08:58
Cassandra the Elder Scholar had slain an ettin#August 31, 2023 at 08:58
Cassandra the Elder Scholar had slain a huge lizard#August 31, 2023 at 08:58
Cassandra the Elder Scholar had slain a huge lizard#August 31, 2023 at 08:58
Cassandra the Elder Scholar had slain a giant serpent#August 31, 2023 at 08:58
Cassandra the Elder Scholar had slain a huge lizard#August 31, 2023 at 08:57
Cassandra the Elder Scholar had slain an ogre#August 31, 2023 at 08:57
Cassandra the Elder Scholar had slain a skeletal knight#August 31, 2023 at 08:57
Cassandra the Elder Scholar had slain a gazer#August 31, 2023 at 08:57
Cassandra the Elder Scholar had slain Palmer the minstrel#August 31, 2023 at 08:56
Cassandra the Elder Scholar had slain a spectre#August 31, 2023 at 08:56
Cassandra the Elder Scholar had slain a cave bear#August 31, 2023 at 08:56
Cassandra the Elder Scholar had slain an ettin#August 31, 2023 at 08:56
Cassandra the Elder Scholar had slain an ogre#August 31, 2023 at 08:56
Cassandra the Elder Scholar had slain Wubdagog the orc#August 31, 2023 at 08:56
Cassandra the Elder Scholar had slain a troll#August 31, 2023 at 08:56
Cassandra the Elder Scholar had slain Gunag the orc shaman#August 31, 2023 at 08:55
Cassandra the Elder Scholar had slain Zeakgu the orc#August 31, 2023 at 08:54
Cassandra the Elder Scholar had slain a giant serpent#August 31, 2023 at 08:53
Cassandra the Elder Scholar had slain Regina the assassin#August 31, 2023 at 08:52
Cassandra the Elder Scholar had slain Tikickeki the ratling#August 31, 2023 at 08:52
Cassandra the Elder Scholar had slain Yllthane the conjurer#August 31, 2023 at 08:52
Cassandra the Elder Scholar had slain Hydra of Deonenegem#August 31, 2023 at 08:50
Cassandra the Elder Scholar had slain Pidkeseton the blood daemon#August 31, 2023 at 07:44
Cassandra the Elder Scholar had slain a disciple of blood#August 31, 2023 at 07:43
Cassandra the Elder Scholar had slain Doraghir the wizard of blood#August 31, 2023 at 07:43
