##############################
Log started on 3/14/2023 6:05:10 AM

3/14/2023 10:06:04 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:06:40 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:07:16 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:08:00 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'props '
3/14/2023 10:08:08 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') set property 'PointDest' of 0x4000378D (Teleporter) to '(4181, 1364, 0)'
3/14/2023 10:08:21 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'M Tele'
3/14/2023 10:08:42 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'props '
3/14/2023 10:08:50 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') set property 'PointDest' of 0x400036CE (Teleporter) to '(5207, 3044, 0)'
3/14/2023 10:08:54 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'props '
3/14/2023 10:09:02 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') set property 'PointDest' of 0x400036CD (Teleporter) to '(5207, 3044, 0)'
3/14/2023 10:09:39 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:10:55 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:12:12 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:13:28 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:14:32 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'elementtool1 '
3/14/2023 10:14:45 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:15:01 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'elementtool1 '
3/14/2023 10:16:01 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:17:18 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:18:34 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:19:50 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:21:07 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:22:23 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:23:40 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:24:56 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:26:13 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:27:30 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:28:46 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:30:03 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:30:16 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/14/2023 10:30:23 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/14/2023 10:31:19 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:32:36 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 10:33:52 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
